Course Code,Course Title,Session,Instructor,Cr Hrs,Day and Time
MKTG 5401 LEC 3,Marketing Management,MS1,Aaminah Zaman Malik,3.0,FSU 4:15PM-6:15PM
ORSC 201 LEC 1,Organizational Behaviour,16W,Faiza Ali,3.0,MW 9:30AM-10:45AM
ORSC 201 LEC 2,Organizational Behaviour,16W,Faiza Ali,3.0,MW 11:00AM-12:15PM
ORSC 201 LEC 3,Organizational Behaviour,16W,Ghulam Ali Arain,3.0,TR 11:00AM-12:15PM
ORSC 201 LEC 4,Organizational Behaviour,16W,Ghulam Ali Arain,3.0,TR 12:30PM-1:45PM
ORSC 7302 LEC 1,Applications of Psychology in Management,16W,Jawad Sarwar Naqvi Syed,3.0,T 9:30AM-12:30PM
ORSC 8402 LEC 1,Seminar in Human Resource Management,16W,Muhammad Abdur Rahman Malik,3.0,R 9:30AM-12:30PM
PHIL 132 LEC 1,Introduction to Logic,16W,Muhammad Shabbir Ahsen,4.0,TR 8:00AM-9:50AM
PHIL 203 LEC 1,Introduction to Philosophy II,16W,Syed Sikander Gilani,4.0,TR 12:00PM-1:50PM
PHIL 204 LEC 1,Contemporary Moral Problems,16W,Syed Sikander Gilani,4.0,MW 4:30PM-6:20PM
PHY 101 LEC 1,Mechanics,16W,Adam Zaman Chaudhry,4.0,MW 2:00PM-3:15PM
PHY 101 LEC 2,Mechanics,16W,Adam Zaman Chaudhry,4.0,TR 2:30PM-3:45PM
PHY 101 RAC 1,Mechanics,16W,Adam Zaman Chaudhry,4.0,F 9:00AM-9:50AM
PHY 101 RAC 2,Mechanics,16W,Adam Zaman Chaudhry,4.0,M 8:00AM-8:50AM
PHY 101 RAC 3,Mechanics,16W,Adam Zaman Chaudhry,4.0,F 8:00AM-8:50AM
PHY 101 RAC 4,Mechanics,16W,Adam Zaman Chaudhry,4.0,M 9:00AM-9:50AM
PHY 101 RAC 5,Mechanics,16W,Adam Zaman Chaudhry,4.0,F 4:00PM-4:50PM
PHY 101 RAC 6,Mechanics,16W,Adam Zaman Chaudhry,4.0,F 2:00PM-2:50PM
PHY 101 RAC 7,Mechanics,16W,Adam Zaman Chaudhry,4.0,F 3:00PM-3:50PM
PHY 101 RAC 8,Mechanics,16W,Adam Zaman Chaudhry,4.0,F 5:00PM-5:50PM
PHY 204 LEC 1,Electricity and Magnetism,16W,Rizwan Khalid,3.0,TR 4:30PM-5:45PM
PHY 212 LEC 1,Quantum Mechanics I,16W,Syed Moeez Hassan,3.0,MW 4:30PM-5:45PM
